,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
0,LP001002,Male,0.0,0,1,0.0,5849,0.0,128.0,360.0,1.0,Urban,1
1,LP001003,Male,1.0,1,1,0.0,4583,1508.0,128.0,360.0,1.0,Rural,0
2,LP001005,Male,1.0,0,1,1.0,3000,0.0,66.0,360.0,1.0,Urban,1
3,LP001006,Male,1.0,0,0,0.0,2583,2358.0,120.0,360.0,1.0,Urban,1
4,LP001008,Male,0.0,0,1,0.0,6000,0.0,141.0,360.0,1.0,Urban,1
5,LP001011,Male,1.0,2,1,1.0,5417,4196.0,267.0,360.0,1.0,Urban,1
6,LP001013,Male,1.0,0,0,0.0,2333,1516.0,95.0,360.0,1.0,Urban,1
7,LP001014,Male,1.0,3+,1,0.0,3036,2504.0,158.0,360.0,0.0,Semiurban,0
8,LP001018,Male,1.0,2,1,0.0,4006,1526.0,168.0,360.0,1.0,Urban,1
9,LP001020,Male,1.0,1,1,0.0,12841,10968.0,349.0,360.0,1.0,Semiurban,0
10,LP001024,Male,1.0,2,1,0.0,3200,700.0,70.0,360.0,1.0,Urban,1
11,LP001027,Male,1.0,2,1,0.0,2500,1840.0,109.0,360.0,1.0,Urban,1
12,LP001028,Male,1.0,2,1,0.0,3073,8106.0,200.0,360.0,1.0,Urban,1
13,LP001029,Male,0.0,0,1,0.0,1853,2840.0,114.0,360.0,1.0,Rural,0
14,LP001030,Male,1.0,2,1,0.0,1299,1086.0,17.0,120.0,1.0,Urban,1
15,LP001032,Male,0.0,0,1,0.0,4950,0.0,125.0,360.0,1.0,Urban,1
16,LP001034,Male,0.0,1,0,0.0,3596,0.0,100.0,240.0,1.0,Urban,1
17,LP001036,Female,0.0,0,1,0.0,3510,0.0,76.0,360.0,0.0,Urban,0
18,LP001038,Male,1.0,0,0,0.0,4887,0.0,133.0,360.0,1.0,Rural,0
19,LP001041,Male,1.0,0,1,0.0,2600,3500.0,115.0,360.0,1.0,Urban,1
20,LP001043,Male,1.0,0,0,0.0,7660,0.0,104.0,360.0,0.0,Urban,0
21,LP001046,Male,1.0,1,1,0.0,5955,5625.0,315.0,360.0,1.0,Urban,1
22,LP001047,Male,1.0,0,0,0.0,2600,1911.0,116.0,360.0,0.0,Semiurban,0
23,LP001050,Male,1.0,2,0,0.0,3365,1917.0,112.0,360.0,0.0,Rural,0
24,LP001052,Male,1.0,1,1,0.0,3717,2925.0,151.0,360.0,1.0,Semiurban,0
25,LP001066,Male,1.0,0,1,1.0,9560,0.0,191.0,360.0,1.0,Semiurban,1
26,LP001068,Male,1.0,0,1,0.0,2799,2253.0,122.0,360.0,1.0,Semiurban,1
27,LP001073,Male,1.0,2,0,0.0,4226,1040.0,110.0,360.0,1.0,Urban,1
28,LP001086,Male,0.0,0,0,0.0,1442,0.0,35.0,360.0,1.0,Urban,0
29,LP001087,Female,0.0,2,1,0.0,3750,2083.0,120.0,360.0,1.0,Semiurban,1
30,LP001091,Male,1.0,1,1,0.0,4166,3369.0,201.0,360.0,1.0,Urban,0
31,LP001095,Male,0.0,0,1,0.0,3167,0.0,74.0,360.0,1.0,Urban,0
