 Braund, Mr. Owen Harris ,1
 Heikkinen, Miss. Laina ,0
 Allen, Mr. William Henry ,0
 Moran, Mr. James ,0
 McCarthy, Mr. Timothy J ,0
 Bonnell, Miss. Elizabeth ,0
 Andersson, Mr. Anders Johan ,0
 Williams, Mr. Charles Eugene ,1
 Masselmani, Mrs. Fatima ,0
 Fynney, Mr. Joseph J ,0
 Beesley, Mr. Lawrence ,0
 Sloper, Mr. William Thompson ,0
 Emir, Mr. Farred Chehab ,0
 Todoroff, Mr. Lalio ,0
 Uruchurtu, Don. Manuel E ,1
 Glynn, Miss. Mary Agatha ,0
 Wheadon, Mr. Edward H ,0
 Meyer, Mr. Edgar Joseph ,0
 Holverson, Mr. Alexander Oskar ,0
 Mamee, Mr. Hanna ,0
 Kraeff, Mr. Theodor ,0
 Rogers, Mr. William John ,1
 Lennon, Mr. Denis ,0
 Samaan, Mr. Youssef ,0
 Ostby, Mr. Engelhart Cornelius ,0
 Woolner, Mr. Hugh ,0
 Novel, Mr. Mansouer ,0
 Sirayanian, Mr. Orsen ,0
 Icard, Miss. Amelie ,1
 Harris, Mr. Henry Birkhardt ,0
 Stewart, Mr. Albert A ,0
 Moubarek, Master. Gerios ,0
 Kink, Mr. Vincenz ,0
 Jenkin, Mr. Stephen Curnow ,0
 Chronopoulos, Mr. Apostolos ,0
 Bing, Mr. Lee ,1
 Moen, Mr. Sigurd Hansen ,0
 Staneff, Mr. Ivan ,0
 Moutal, Mr. Rahamin Haim ,0
 Dowdell, Miss. Elizabeth ,0
 Waelens, Mr. Achille ,0
 Sheerlinck, Mr. Jan Baptist ,0
 McDermott, Miss. Brigdet Delia ,1
 Carrau, Mr. Francisco M ,0
 Slocovski, Mr. Selman Francis ,0
 Fortune, Miss. Mabel Helen ,0
 Celotti, Mr. Francesco ,0
 Christmann, Mr. Emil ,0
 Chaffee, Mr. Herbert Fuller ,0
 Dean, Mr. Bertram Frank ,1
 Coxon, Mr. Daniel ,0
 Shorney, Mr. Charles Joseph ,0
 Goldschmidt, Mr. George B ,0
 Greenfield, Mr. William Bertram ,0
 Kantor, Mr. Sinai ,0
 Petranec, Miss. Matilda ,0
 Johansson, Mr. Gustaf Joel ,1
 Gustafsson, Mr. Anders Vilhelm ,0
 Mionoff, Mr. Stoytcho ,0
 Moss, Mr. Albert Johan ,0
 Rekic, Mr. Tido ,0
 Moran, Miss. Bertha ,0
 Porter, Mr. Walter Chamberlain ,0
 Barton, Mr. David John ,1
 Connors, Mr. Patrick ,0
 Turpin, Mr. William John Robert ,0
 Baxter, Mr. Quigg Edmond ,0
 Moore, Mr. Leonard Charles ,0
 Nasser, Mr. Nicholas ,0
 Webber, Miss. Susan ,0
 White, Mr. Percival Wayland ,1
 McMahon, Mr. Martin ,0
 Madsen, Mr. Fridtjof Arne ,0
 Peter, Miss. Anna ,0
 Ekstrom, Mr. Johan ,0
 Drazenoic, Mr. Jozef ,0
 Sobey, Mr. Samuel James Hayden ,0
 Richard, Mr. Emile ,1
 Futrelle, Mr. Jacques Heath ,0
 Giglio, Mr. Victor ,0
 Nysten, Miss. Anna Sofia ,0
 Byles, Rev. Thomas Roussel Davids ,0
 Bateman, Rev. Robert James ,0
 Meo, Mr. Alfonzo ,0
