age,job,marital,y
20,student,single,yes
32,management,single,yes
49,technician,married,yes
32,blue-collar,married,yes
33,management,married,yes
61,admin.,married,yes
45,blue-collar,divorced,yes
34,technician,married,yes
37,management,married,yes
27,admin.,divorced,yes
52,services,married,yes
37,management,married,yes
27,services,single,yes
21,student,single,yes
25,student,single,yes
25,technician,single,yes
34,self-employed,single,yes
52,management,married,yes
55,admin.,married,yes
28,management,single,yes
35,technician,single,yes
29,blue-collar,single,yes
42,management,married,yes
29,blue-collar,single,yes
24,blue-collar,single,yes
34,admin.,married,yes
50,blue-collar,married,yes
49,entrepreneur,divorced,yes
45,blue-collar,divorced,yes
38,entrepreneur,married,yes
32,blue-collar,married,yes
49,entrepreneur,married,yes
25,admin.,single,yes
35,entrepreneur,married,yes
38,management,married,yes
35,entrepreneur,single,yes
32,services,married,yes
30,management,single,yes
55,management,married,yes
48,admin.,divorced,yes
60,technician,single,yes
37,management,married,yes
28,blue-collar,single,yes
54,admin.,married,yes
49,management,divorced,yes
30,management,married,yes
35,technician,married,yes
34,self-employed,single,yes
32,blue-collar,married,yes
61,admin.,married,yes
53,admin.,married,yes
46,admin.,married,yes
44,technician,single,yes
19,student,single,yes
30,blue-collar,single,yes
52,technician,married,yes
36,blue-collar,married,yes
47,admin.,single,yes
43,management,single,yes
41,blue-collar,married,yes
28,technician,single,yes
32,services,single,yes
41,self-employed,married,yes
35,technician,married,yes
30,management,single,yes
58,self-employed,divorced,yes
27,management,single,yes
39,management,married,yes
46,self-employed,married,yes
28,management,single,yes
38,technician,single,yes
28,services,single,yes
32,management,divorced,yes
35,self-employed,divorced,yes
50,management,married,yes
36,technician,married,yes
28,management,single,yes
48,management,married,yes
29,blue-collar,single,yes
34,management,married,yes
43,management,married,yes
47,blue-collar,married,yes
39,services,single,yes
55,housemaid,divorced,yes
46,management,divorced,yes
41,admin.,single,yes
31,housemaid,single,yes
26,admin.,single,yes
60,technician,married,yes
27,student,single,yes
28,services,single,yes
34,blue-collar,divorced,yes
34,management,married,yes
40,blue-collar,married,yes
41,technician,married,yes
33,management,single,yes
58,self-employed,married,yes
34,blue-collar,single,yes
43,management,divorced,yes
59,self-employed,married,yes
37,admin.,married,yes
45,technician,single,yes
49,blue-collar,married,yes
42,technician,married,yes
45,admin.,married,yes
55,blue-collar,divorced,yes
34,services,married,yes
63,entrepreneur,married,yes
48,management,married,yes
36,blue-collar,married,yes
38,admin.,married,yes
33,blue-collar,married,yes
59,technician,married,yes
37,technician,married,yes
37,technician,married,yes
60,management,divorced,yes
44,admin.,married,yes
32,technician,single,yes
33,management,married,yes
28,self-employed,single,yes
37,management,married,yes
31,technician,married,yes
34,services,married,yes
61,management,married,yes
36,management,single,yes
60,blue-collar,married,yes
27,technician,single,yes
41,management,divorced,yes
46,admin.,divorced,yes
31,management,married,yes
32,management,single,yes
42,management,married,yes
49,management,married,yes
45,admin.,married,yes
32,management,single,yes
27,admin.,married,yes
47,technician,married,yes
28,management,single,yes
46,admin.,married,yes
38,technician,married,yes
35,blue-collar,single,yes
38,services,single,yes
36,management,married,yes
56,housemaid,divorced,yes
32,technician,single,yes
31,management,married,yes
45,services,single,yes
36,management,married,yes
31,blue-collar,married,yes
53,services,divorced,yes
59,technician,married,yes
29,technician,single,yes
46,technician,married,yes
47,admin.,divorced,yes
42,admin.,divorced,yes
33,technician,married,yes
54,management,divorced,yes
28,student,single,yes
42,management,divorced,yes
49,management,single,yes
46,management,divorced,yes
39,self-employed,single,yes
53,blue-collar,married,yes
52,blue-collar,divorced,yes
47,services,single,yes
32,technician,single,yes
37,technician,single,yes
43,admin.,married,yes
31,management,single,yes
35,management,single,yes
25,student,single,yes
32,blue-collar,single,yes
46,admin.,married,yes
48,management,married,yes
34,technician,married,yes
53,admin.,single,yes
40,admin.,single,yes
49,housemaid,married,yes
49,admin.,married,yes
29,management,single,yes
38,technician,married,yes
35,technician,married,yes
57,blue-collar,married,yes
51,management,single,yes
31,management,married,yes
39,technician,divorced,yes
54,management,married,yes
51,self-employed,married,yes
34,management,single,yes
47,blue-collar,married,yes
34,admin.,married,yes
26,blue-collar,single,yes
39,technician,divorced,yes
42,management,married,yes
40,management,single,yes
28,student,single,yes
46,management,married,yes
48,housemaid,married,yes
30,services,single,yes
29,management,single,yes
22,student,single,yes
27,technician,single,yes
27,student,single,yes
42,services,divorced,yes
41,admin.,divorced,yes
44,technician,single,yes
37,entrepreneur,divorced,yes
44,management,married,yes
40,management,single,yes
34,technician,single,yes
59,management,married,yes
41,blue-collar,divorced,yes
30,management,married,yes
59,technician,married,yes
31,admin.,single,yes
48,technician,married,yes
47,technician,married,yes
33,blue-collar,single,yes
30,management,single,yes
38,management,single,yes
33,management,married,yes
41,admin.,married,yes
35,housemaid,married,yes
47,housemaid,single,yes
37,management,married,yes
62,management,married,yes
33,services,married,yes
